caseid,createdatetime,fab,subject,username,productname,issuetype
case-20260517-00160,2026/5/17 8:14:55 PM,F15,[tcs/tap alarm:系統效能]f15_General的尖峰排程時段TCS主機反應時間稍有波動,chris_chao,tcs/tap,系統效能
case-20260517-00161,2026/5/17 12:34:07 PM,F14A,[fdc alarm:模型維護]f14a_Tool-96的例行性FDC演算法閾值微調驗證,tony_chang,fdc,模型維護
case-20260517-00162,2026/5/17 2:52:40 PM,F12A,[others alarm:帳號與權限]f12a_Tool-70的工程師忘記密碼導致帳號被鎖定,sam_liu,others,帳號與權限
case-20260517-00163,2026/5/17 5:56:35 PM,F15,[others alarm:帳號與權限]f15_General的工程師忘記密碼導致帳號被鎖定,sam_liu,others,帳號與權限
case-20260517-00164,2026/5/17 6:52:29 PM,F18,[others alarm:帳號與權限]f18_Tool-27的工程師忘記密碼導致帳號被鎖定,eric_huang,others,帳號與權限
case-20260518-00165,2026/5/18 12:31:07 PM,F12B,[ees alarm:帳號與權限]f12b_Tool-27的廠端新進作業員申請基礎檢視權限,john_lin,ees,帳號與權限
case-20260518-00166,2026/5/18 1:42:47 PM,F15,[tcs/tap alarm:系統效能]f15_Tool-29的尖峰排程時段TCS主機反應時間稍有波動,chris_chao,tcs/tap,系統效能
case-20260518-00167,2026/5/18 6:06:53 PM,F15,[tcs/tap alarm:設備通訊]f15_Tool-45的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,tony_chang,tcs/tap,設備通訊
case-20260518-00168,2026/5/18 1:13:28 PM,F12B,[fdc alarm:模型維護]f12b_Tool-22的例行性FDC演算法閾值微調驗證,tony_chang,fdc,模型維護
case-20260518-00169,2026/5/18 4:57:41 PM,F12A,[fdc alarm:腔體警報]f12a_General的腔體即時壓力短暫碰觸UCL邊界,sam_liu,fdc,腔體警報
case-20260518-00170,2026/5/18 9:54:52 AM,F12A,[fdc alarm:感測器異常]f12a_Tool-92的單一Sensor SVID採樣週期跳動,tony_chang,fdc,感測器異常
case-20260518-00171,2026/5/18 8:21:15 PM,F15,[others alarm:週邊設備]f15_General的標籤列印機無法收到網路列印指令,kevin_wang,others,週邊設備
case-20260519-00172,2026/5/19 5:13:52 PM,F14A,[ees alarm:PM保養]f14a_Tool-86的年度PM完成後於EES點選完工無法同步更新狀態,david_li,ees,PM保養
case-20260519-00173,2026/5/19 10:08:34 AM,F12B,[tcs/tap alarm:設備通訊]f12b_General的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,eric_huang,tcs/tap,設備通訊
case-20260519-00174,2026/5/19 10:00:22 AM,F15,[tcs/tap alarm:派工作業]f15_General的機台換批時派工佇列稍有延遲重整後正常,david_li,tcs/tap,派工作業
case-20260519-00175,2026/5/19 8:08:47 AM,F15,[fdc alarm:感測器異常]f15_General的單一Sensor SVID採樣週期跳動,chris_chao,fdc,感測器異常
case-20260519-00176,2026/5/19 3:28:49 PM,F15,[fdc alarm:腔體警報]f15_Tool-67的腔體即時壓力短暫碰觸UCL邊界,sam_liu,fdc,腔體警報
case-20260519-00177,2026/5/19 8:46:50 AM,F14B,[others alarm:帳號與權限]f14b_Tool-13的工程師忘記密碼導致帳號被鎖定,eric_huang,others,帳號與權限
case-20260519-00178,2026/5/19 3:54:25 PM,F18,[others alarm:週邊設備]f18_General的標籤列印機無法收到網路列印指令,chris_chao,others,週邊設備
case-20260519-00179,2026/5/19 3:04:57 PM,F14A,[others alarm:帳號與權限]f14a_Tool-18的工程師忘記密碼導致帳號被鎖定,john_lin,others,帳號與權限
case-20260520-00180,2026/5/20 5:40:37 PM,F14B,[ees alarm:零件壽命]f14b_Tool-77的更換消耗性零件後EES介面仍顯示壽命過期警告,sam_liu,ees,零件壽命
case-20260520-00181,2026/5/20 3:32:38 PM,F12A,[ees alarm:配方管理]f12a_Tool-24的修改參數後上傳EES主機回應逾時,chris_chao,ees,配方管理
case-20260520-00182,2026/5/20 3:56:14 PM,F14A,[tcs/tap alarm:系統效能]f14a_Tool-61的尖峰排程時段TCS主機反應時間稍有波動,chris_chao,tcs/tap,系統效能
case-20260520-00183,2026/5/20 7:06:20 PM,F14A,[tcs/tap alarm:派工作業]f14a_Tool-57的機台換批時派工佇列稍有延遲重整後正常,chris_chao,tcs/tap,派工作業
case-20260520-00184,2026/5/20 3:04:05 PM,F12A,[fdc alarm:腔體警報]f12a_Tool-57的腔體即時壓力短暫碰觸UCL邊界,john_lin,fdc,腔體警報
case-20260520-00185,2026/5/20 4:03:37 PM,F18,[fdc alarm:模型維護]f18_General的例行性FDC演算法閾值微調驗證,sam_liu,fdc,模型維護
case-20260520-00186,2026/5/20 6:48:27 PM,F14A,[fdc alarm:感測器異常]f14a_Tool-55的單一Sensor SVID採樣週期跳動,alex_chen,fdc,感測器異常
case-20260520-00187,2026/5/20 4:13:09 PM,F12B,[others alarm:週邊設備]f12b_Tool-54的標籤列印機無法收到網路列印指令,tony_chang,others,週邊設備
case-20260520-00188,2026/5/20 1:07:48 PM,F15,[others alarm:帳號與權限]f15_General的廠端新進作業員申請基礎檢視權限,eric_huang,others,帳號與權限
case-20260520-00189,2026/5/20 4:49:52 PM,F15,[others alarm:帳號與權限]f15_Tool-98的廠端新進作業員申請基礎檢視權限,alex_chen,others,帳號與權限
case-20260521-00190,2026/5/21 10:17:44 AM,F14A,[ees alarm:配方管理]f14a_General的修改參數後上傳EES主機回應逾時,eric_huang,ees,配方管理
case-20260521-00191,2026/5/21 5:42:25 PM,F12B,[tcs/tap alarm:設備通訊]f12b_Tool-13的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,john_lin,tcs/tap,設備通訊
case-20260521-00192,2026/5/21 4:13:24 PM,F14B,[fdc alarm:模型維護]f14b_General的例行性FDC演算法閾值微調驗證,chris_chao,fdc,模型維護
case-20260521-00193,2026/5/21 12:46:20 PM,F12A,[fdc alarm:感測器異常]f12a_General的單一Sensor SVID採樣週期跳動,john_lin,fdc,感測器異常
case-20260521-00194,2026/5/21 6:05:17 PM,F18,[fdc alarm:資料採集]f18_Tool-87的短暫網路震盪導致FDC Log採集延遲,tony_chang,fdc,資料採集
case-20260521-00195,2026/5/21 12:13:48 PM,F14A,[others alarm:週邊設備]f14a_Tool-46的標籤列印機無法收到網路列印指令,john_lin,others,週邊設備
case-20260521-00196,2026/5/21 6:37:31 PM,F12A,[others alarm:週邊設備]f12a_General的標籤列印機無法收到網路列印指令,eric_huang,others,週邊設備
case-20260522-00197,2026/5/22 8:13:19 AM,F12B,[ees alarm:零件壽命]f12b_Tool-47的更換消耗性零件後EES介面仍顯示壽命過期警告,david_li,ees,零件壽命
case-20260522-00198,2026/5/22 8:31:47 AM,F12B,[tcs/tap alarm:帳號與權限]f12b_General的作業員請假交接暫時調整TAP機台控制權限,chris_chao,tcs/tap,帳號與權限
case-20260522-00199,2026/5/22 11:32:35 AM,F12A,[fdc alarm:感測器異常]f12a_General的單一Sensor SVID採樣週期跳動,sam_liu,fdc,感測器異常
case-20260522-00200,2026/5/22 2:01:29 PM,F14A,[fdc alarm:資料採集]f14a_Tool-83的短暫網路震盪導致FDC Log採集延遲,john_lin,fdc,資料採集
case-20260522-00201,2026/5/22 7:40:26 PM,F12A,[fdc alarm:腔體警報]f12a_Tool-51的腔體即時壓力短暫碰觸UCL邊界,eric_huang,fdc,腔體警報
case-20260522-00202,2026/5/22 3:53:44 PM,F12A,[others alarm:帳號與權限]f12a_Tool-23的工程師忘記密碼導致帳號被鎖定,sam_liu,others,帳號與權限
case-20260522-00203,2026/5/22 2:37:25 PM,F14B,[others alarm:帳號與權限]f14b_Tool-53的工程師忘記密碼導致帳號被鎖定,john_lin,others,帳號與權限
case-20260522-00204,2026/5/22 1:49:10 PM,F15,[others alarm:週邊設備]f15_Tool-77的標籤列印機無法收到網路列印指令,john_lin,others,週邊設備
case-20260523-00205,2026/5/23 8:22:22 PM,F12B,[ees alarm:零件壽命]f12b_General的更換消耗性零件後EES介面仍顯示壽命過期警告,kevin_wang,ees,零件壽命
case-20260523-00206,2026/5/23 10:38:09 AM,F12B,[tcs/tap alarm:系統效能]f12b_Tool-90的尖峰排程時段TCS主機反應時間稍有波動,john_lin,tcs/tap,系統效能
case-20260523-00207,2026/5/23 8:36:48 PM,F18,[fdc alarm:模型維護]f18_Tool-82的例行性FDC演算法閾值微調驗證,tony_chang,fdc,模型維護
case-20260523-00208,2026/5/23 6:20:09 PM,F12A,[fdc alarm:模型維護]f12a_Tool-90的例行性FDC演算法閾值微調驗證,tony_chang,fdc,模型維護
case-20260523-00209,2026/5/23 5:03:22 PM,F14A,[others alarm:帳號與權限]f14a_Tool-14的工程師忘記密碼導致帳號被鎖定,john_lin,others,帳號與權限
case-20260523-00210,2026/5/23 1:53:18 PM,F18,[others alarm:週邊設備]f18_Tool-21的標籤列印機無法收到網路列印指令,john_lin,others,週邊設備
case-20260524-00211,2026/5/24 4:24:29 PM,F14B,[ees alarm:配方管理]f14b_Tool-83的修改參數後上傳EES主機回應逾時,alex_chen,ees,配方管理
case-20260524-00212,2026/5/24 1:38:30 PM,F12A,[ees alarm:PM保養]f12a_Tool-53的年度PM完成後於EES點選完工無法同步更新狀態,kevin_wang,ees,PM保養
case-20260524-00213,2026/5/24 4:41:11 PM,F12B,[ees alarm:配方管理]f12b_Tool-66的修改參數後上傳EES主機回應逾時,alex_chen,ees,配方管理
case-20260524-00214,2026/5/24 1:58:18 PM,F14B,[tcs/tap alarm:帳號與權限]f14b_Tool-96的作業員請假交接暫時調整TAP機台控制權限,chris_chao,tcs/tap,帳號與權限
case-20260524-00215,2026/5/24 8:50:40 AM,F12A,[tcs/tap alarm:帳號與權限]f12a_General的作業員請假交接暫時調整TAP機台控制權限,sam_liu,tcs/tap,帳號與權限
case-20260524-00216,2026/5/24 2:18:16 PM,F14A,[fdc alarm:腔體警報]f14a_General的腔體即時壓力短暫碰觸UCL邊界,kevin_wang,fdc,腔體警報
case-20260524-00217,2026/5/24 1:19:41 PM,F12B,[fdc alarm:模型維護]f12b_Tool-20的例行性FDC演算法閾值微調驗證,chris_chao,fdc,模型維護
case-20260524-00218,2026/5/24 4:24:41 PM,F12B,[fdc alarm:感測器異常]f12b_Tool-97的單一Sensor SVID採樣週期跳動,sam_liu,fdc,感測器異常
case-20260524-00219,2026/5/24 6:27:32 PM,F12A,[others alarm:帳號與權限]f12a_General的工程師忘記密碼導致帳號被鎖定,sam_liu,others,帳號與權限
case-20260524-00220,2026/5/24 11:21:49 AM,F12B,[others alarm:帳號與權限]f12b_General的工程師忘記密碼導致帳號被鎖定,tony_chang,others,帳號與權限
case-20260524-00221,2026/5/24 10:04:18 AM,F15,[others alarm:帳號與權限]f15_Tool-77的工程師忘記密碼導致帳號被鎖定,john_lin,others,帳號與權限
case-20260525-00222,2026/5/25 1:56:49 PM,F15,[ees alarm:配方管理]f15_General的修改參數後上傳EES主機回應逾時,kevin_wang,ees,配方管理
case-20260525-00223,2026/5/25 10:53:44 AM,F18,[ees alarm:零件壽命]f18_Tool-62的更換消耗性零件後EES介面仍顯示壽命過期警告,kevin_wang,ees,零件壽命
case-20260525-00224,2026/5/25 6:46:15 PM,F15,[ees alarm:帳號與權限]f15_General的廠端新進作業員申請基礎檢視權限,tony_chang,ees,帳號與權限
case-20260525-00225,2026/5/25 4:15:19 PM,F12B,[tcs/tap alarm:帳號與權限]f12b_General的作業員請假交接暫時調整TAP機台控制權限,tony_chang,tcs/tap,帳號與權限
case-20260525-00226,2026/5/25 3:49:18 PM,F15,[fdc alarm:腔體警報]f15_Tool-30的腔體即時壓力短暫碰觸UCL邊界,chris_chao,fdc,腔體警報
case-20260525-00227,2026/5/25 8:38:08 PM,F12A,[fdc alarm:感測器異常]f12a_Tool-57的單一Sensor SVID採樣週期跳動,eric_huang,fdc,感測器異常
case-20260525-00228,2026/5/25 4:54:07 PM,F12A,[others alarm:帳號與權限]f12a_Tool-44的廠端新進作業員申請基礎檢視權限,eric_huang,others,帳號與權限
case-20260525-00229,2026/5/25 4:09:53 PM,F12A,[others alarm:帳號與權限]f12a_Tool-38的廠端新進作業員申請基礎檢視權限,chris_chao,others,帳號與權限
case-20260525-00230,2026/5/25 1:59:01 PM,F12A,[others alarm:帳號與權限]f12a_General的廠端新進作業員申請基礎檢視權限,chris_chao,others,帳號與權限
case-20260526-00231,2026/5/26 2:05:23 PM,F12A,[ees alarm:PM保養]f12a_General的年度PM完成後於EES點選完工無法同步更新狀態,david_li,ees,PM保養
case-20260526-00232,2026/5/26 6:21:50 PM,F12B,[tcs/tap alarm:系統效能]f12b_General的尖峰排程時段TCS主機反應時間稍有波動,kevin_wang,tcs/tap,系統效能
case-20260526-00233,2026/5/26 7:53:08 PM,F14B,[tcs/tap alarm:設備通訊]f14b_Tool-20的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,tony_chang,tcs/tap,設備通訊
case-20260526-00234,2026/5/26 12:13:53 PM,F15,[tcs/tap alarm:帳號與權限]f15_Tool-87的作業員請假交接暫時調整TAP機台控制權限,kevin_wang,tcs/tap,帳號與權限
case-20260526-00235,2026/5/26 9:49:18 AM,F14A,[fdc alarm:腔體警報]f14a_General的腔體即時壓力短暫碰觸UCL邊界,david_li,fdc,腔體警報
case-20260526-00236,2026/5/26 2:40:50 PM,F12A,[fdc alarm:資料採集]f12a_General的短暫網路震盪導致FDC Log採集延遲,tony_chang,fdc,資料採集
case-20260526-00237,2026/5/26 4:01:40 PM,F18,[others alarm:帳號與權限]f18_General的廠端新進作業員申請基礎檢視權限,david_li,others,帳號與權限
case-20260526-00238,2026/5/26 8:39:22 AM,F15,[others alarm:週邊設備]f15_Tool-95的標籤列印機無法收到網路列印指令,david_li,others,週邊設備
case-20260526-00239,2026/5/26 9:33:23 AM,F15,[others alarm:週邊設備]f15_Tool-74的標籤列印機無法收到網路列印指令,john_lin,others,週邊設備
case-20260527-00240,2026/5/27 2:55:30 PM,F18,[ees alarm:零件壽命]f18_General的更換消耗性零件後EES介面仍顯示壽命過期警告,alex_chen,ees,零件壽命
case-20260527-00241,2026/5/27 7:01:22 PM,F14A,[tcs/tap alarm:報表與查詢]f14a_General的工程師申請匯出昨日OHT搬運統計報表,john_lin,tcs/tap,報表與查詢
case-20260527-00242,2026/5/27 6:06:49 PM,F12B,[tcs/tap alarm:帳號與權限]f12b_General的作業員請假交接暫時調整TAP機台控制權限,sam_liu,tcs/tap,帳號與權限
case-20260527-00243,2026/5/27 6:11:53 PM,F18,[fdc alarm:腔體警報]f18_Tool-33的腔體即時壓力短暫碰觸UCL邊界,tony_chang,fdc,腔體警報
case-20260527-00244,2026/5/27 9:45:49 AM,F12A,[fdc alarm:感測器異常]f12a_General的單一Sensor SVID採樣週期跳動,tony_chang,fdc,感測器異常
case-20260527-00245,2026/5/27 8:20:59 AM,F15,[others alarm:週邊設備]f15_General的標籤列印機無法收到網路列印指令,eric_huang,others,週邊設備
case-20260528-00246,2026/5/28 12:02:48 PM,F14A,[ees alarm:PM保養]f14a_General的年度PM完成後於EES點選完工無法同步更新狀態,david_li,ees,PM保養
case-20260528-00247,2026/5/28 6:21:17 PM,F14A,[ees alarm:帳號與權限]f14a_Tool-61的廠端新進作業員申請基礎檢視權限,john_lin,ees,帳號與權限
case-20260528-00248,2026/5/28 1:11:31 PM,F14A,[tcs/tap alarm:自動搬運]f14a_Tool-76的自動搬運系統指令重試後成功進料,tony_chang,tcs/tap,自動搬運
case-20260528-00249,2026/5/28 8:05:46 PM,F12A,[tcs/tap alarm:帳號與權限]f12a_Tool-33的作業員請假交接暫時調整TAP機台控制權限,chris_chao,tcs/tap,帳號與權限
case-20260528-00250,2026/5/28 1:06:05 PM,F18,[fdc alarm:資料採集]f18_General的短暫網路震盪導致FDC Log採集延遲,sam_liu,fdc,資料採集
case-20260528-00251,2026/5/28 5:45:27 PM,F18,[fdc alarm:感測器異常]f18_Tool-67的單一Sensor SVID採樣週期跳動,kevin_wang,fdc,感測器異常
case-20260528-00252,2026/5/28 1:39:27 PM,F18,[others alarm:帳號與權限]f18_Tool-17的工程師忘記密碼導致帳號被鎖定,eric_huang,others,帳號與權限
case-20260528-00253,2026/5/28 6:40:25 PM,F15,[others alarm:帳號與權限]f15_Tool-96的工程師忘記密碼導致帳號被鎖定,sam_liu,others,帳號與權限
case-20260528-00254,2026/5/28 8:09:54 AM,F12A,[others alarm:帳號與權限]f12a_General的工程師忘記密碼導致帳號被鎖定,tony_chang,others,帳號與權限
case-20260529-00255,2026/5/29 1:23:24 PM,F15,[ees alarm:帳號與權限]f15_General的廠端新進作業員申請基礎檢視權限,alex_chen,ees,帳號與權限
case-20260529-00256,2026/5/29 1:23:28 PM,F15,[ees alarm:零件壽命]f15_General的更換消耗性零件後EES介面仍顯示壽命過期警告,john_lin,ees,零件壽命
case-20260529-00257,2026/5/29 2:20:41 PM,F12B,[ees alarm:配方管理]f12b_Tool-13的修改參數後上傳EES主機回應逾時,eric_huang,ees,配方管理
case-20260529-00258,2026/5/29 4:24:58 PM,F14A,[tcs/tap alarm:派工作業]f14a_Tool-67的機台換批時派工佇列稍有延遲重整後正常,john_lin,tcs/tap,派工作業
case-20260529-00259,2026/5/29 5:18:44 PM,F12B,[tcs/tap alarm:設備通訊]f12b_General的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,tony_chang,tcs/tap,設備通訊
case-20260529-00260,2026/5/29 10:57:45 AM,F12A,[fdc alarm:模型維護]f12a_Tool-50的例行性FDC演算法閾值微調驗證,tony_chang,fdc,模型維護
case-20260529-00261,2026/5/29 7:04:35 PM,F14A,[fdc alarm:腔體警報]f14a_Tool-99的腔體即時壓力短暫碰觸UCL邊界,eric_huang,fdc,腔體警報
case-20260529-00262,2026/5/29 4:14:07 PM,F12B,[others alarm:帳號與權限]f12b_General的廠端新進作業員申請基礎檢視權限,david_li,others,帳號與權限
case-20260529-00263,2026/5/29 8:23:35 AM,F14B,[others alarm:帳號與權限]f14b_Tool-80的工程師忘記密碼導致帳號被鎖定,sam_liu,others,帳號與權限
case-20260530-00264,2026/5/30 9:04:19 AM,F18,[ees alarm:帳號與權限]f18_Tool-77的廠端新進作業員申請基礎檢視權限,chris_chao,ees,帳號與權限
case-20260530-00265,2026/5/30 8:26:52 PM,F12B,[ees alarm:PM保養]f12b_Tool-92的年度PM完成後於EES點選完工無法同步更新狀態,john_lin,ees,PM保養
case-20260530-00266,2026/5/30 3:29:43 PM,F12B,[ees alarm:配方管理]f12b_Tool-80的修改參數後上傳EES主機回應逾時,sam_liu,ees,配方管理
case-20260530-00267,2026/5/30 2:32:58 PM,F12A,[tcs/tap alarm:派工作業]f12a_Tool-48的機台換批時派工佇列稍有延遲重整後正常,alex_chen,tcs/tap,派工作業
case-20260530-00268,2026/5/30 1:59:45 PM,F14A,[fdc alarm:模型維護]f14a_Tool-76的例行性FDC演算法閾值微調驗證,david_li,fdc,模型維護
case-20260530-00269,2026/5/30 12:12:40 PM,F12B,[others alarm:週邊設備]f12b_Tool-88的標籤列印機無法收到網路列印指令,eric_huang,others,週邊設備
case-20260531-00270,2026/5/31 4:41:10 PM,F12B,[ees alarm:零件壽命]f12b_Tool-87的更換消耗性零件後EES介面仍顯示壽命過期警告,kevin_wang,ees,零件壽命
case-20260531-00271,2026/5/31 8:52:55 AM,F12A,[tcs/tap alarm:報表與查詢]f12a_General的工程師申請匯出昨日OHT搬運統計報表,alex_chen,tcs/tap,報表與查詢
case-20260531-00272,2026/5/31 8:36:16 PM,F15,[tcs/tap alarm:設備通訊]f15_Tool-91的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,david_li,tcs/tap,設備通訊
case-20260531-00273,2026/5/31 3:56:40 PM,F18,[tcs/tap alarm:派工作業]f18_Tool-71的機台換批時派工佇列稍有延遲重整後正常,eric_huang,tcs/tap,派工作業
case-20260531-00274,2026/5/31 2:19:29 PM,F18,[fdc alarm:資料採集]f18_General的短暫網路震盪導致FDC Log採集延遲,john_lin,fdc,資料採集
case-20260531-00275,2026/5/31 2:30:29 PM,F14A,[fdc alarm:模型維護]f14a_Tool-50的例行性FDC演算法閾值微調驗證,david_li,fdc,模型維護
case-20260531-00276,2026/5/31 7:55:22 PM,F12B,[fdc alarm:感測器異常]f12b_Tool-75的單一Sensor SVID採樣週期跳動,chris_chao,fdc,感測器異常
case-20260531-00277,2026/5/31 11:29:07 AM,F14B,[others alarm:帳號與權限]f14b_General的工程師忘記密碼導致帳號被鎖定,eric_huang,others,帳號與權限
case-20260531-00278,2026/5/31 8:18:24 AM,F12B,[others alarm:帳號與權限]f12b_Tool-30的廠端新進作業員申請基礎檢視權限,chris_chao,others,帳號與權限
case-20260601-00279,2026/6/1 7:20:12 PM,F14B,[ees alarm:帳號與權限]f14b_Tool-69的廠端新進作業員申請基礎檢視權限,kevin_wang,ees,帳號與權限
case-20260601-00280,2026/6/1 12:31:01 PM,F14B,[ees alarm:配方管理]f14b_Tool-40的修改參數後上傳EES主機回應逾時,john_lin,ees,配方管理
case-20260601-00281,2026/6/1 5:22:03 PM,F14A,[ees alarm:帳號與權限]f14a_Tool-93的廠端新進作業員申請基礎檢視權限,alex_chen,ees,帳號與權限
case-20260601-00282,2026/6/1 4:00:54 PM,F14B,[tcs/tap alarm:自動搬運]f14b_General的自動搬運系統指令重試後成功進料,john_lin,tcs/tap,自動搬運
case-20260601-00283,2026/6/1 7:23:48 PM,F14A,[tcs/tap alarm:設備通訊]f14a_General的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,chris_chao,tcs/tap,設備通訊
case-20260601-00284,2026/6/1 4:12:23 PM,F12A,[fdc alarm:資料採集]f12a_General的短暫網路震盪導致FDC Log採集延遲,eric_huang,fdc,資料採集
case-20260601-00285,2026/6/1 8:35:17 PM,F12B,[fdc alarm:模型維護]f12b_Tool-60的例行性FDC演算法閾值微調驗證,john_lin,fdc,模型維護
case-20260601-00286,2026/6/1 8:21:35 PM,F12B,[fdc alarm:資料採集]f12b_General的短暫網路震盪導致FDC Log採集延遲,sam_liu,fdc,資料採集
case-20260601-00287,2026/6/1 8:02:02 AM,F18,[others alarm:帳號與權限]f18_General的廠端新進作業員申請基礎檢視權限,kevin_wang,others,帳號與權限
case-20260601-00288,2026/6/1 4:29:09 PM,F14A,[others alarm:帳號與權限]f14a_Tool-50的工程師忘記密碼導致帳號被鎖定,kevin_wang,others,帳號與權限
case-20260601-00289,2026/6/1 2:39:47 PM,F15,[others alarm:週邊設備]f15_General的標籤列印機無法收到網路列印指令,eric_huang,others,週邊設備
case-20260602-00290,2026/6/2 3:45:36 PM,F14B,[ees alarm:零件壽命]f14b_Tool-57的更換消耗性零件後EES介面仍顯示壽命過期警告,eric_huang,ees,零件壽命
case-20260602-00291,2026/6/2 6:07:26 PM,F18,[ees alarm:PM保養]f18_Tool-90的年度PM完成後於EES點選完工無法同步更新狀態,eric_huang,ees,PM保養
case-20260602-00292,2026/6/2 5:30:16 PM,F18,[ees alarm:帳號與權限]f18_General的廠端新進作業員申請基礎檢視權限,david_li,ees,帳號與權限
case-20260602-00293,2026/6/2 4:40:46 PM,F12B,[tcs/tap alarm:設備通訊]f12b_Tool-41的OHT天車放置晶圓盒後TAP交握訊號延遲約10秒,chris_chao,tcs/tap,設備通訊
case-20260602-00294,2026/6/2 7:07:12 PM,F14B,[fdc alarm:腔體警報]f14b_General的腔體即時壓力短暫碰觸UCL邊界,alex_chen,fdc,腔體警報
case-20260602-00295,2026/6/2 2:44:13 PM,F15,[fdc alarm:感測器異常]f15_Tool-70的單一Sensor SVID採樣週期跳動,chris_chao,fdc,感測器異常
case-20260602-00296,2026/6/2 7:08:33 PM,F15,[fdc alarm:資料採集]f15_General的短暫網路震盪導致FDC Log採集延遲,david_li,fdc,資料採集
case-20260602-00297,2026/6/2 2:20:11 PM,F15,[others alarm:帳號與權限]f15_General的廠端新進作業員申請基礎檢視權限,tony_chang,others,帳號與權限
case-20260602-00298,2026/6/2 6:49:55 PM,F15,[others alarm:帳號與權限]f15_Tool-41的廠端新進作業員申請基礎檢視權限,eric_huang,others,帳號與權限
case-20260602-00299,2026/6/2 4:19:14 PM,F14A,[others alarm:週邊設備]f14a_Tool-98的標籤列印機無法收到網路列印指令,eric_huang,others,週邊設備
case-20260603-00300,2026/6/3 1:30:22 PM,F14A,[ees alarm:帳號與權限]f14a_General的廠端新進作業員申請基礎檢視權限,eric_huang,ees,帳號與權限
case-20260603-00301,2026/6/3 2:52:22 PM,F14A,[ees alarm:PM保養]f14a_General的年度PM完成後於EES點選完工無法同步更新狀態,kevin_wang,ees,PM保養
case-20260603-00302,2026/6/3 3:41:16 PM,F12B,[tcs/tap alarm:帳號與權限]f12b_General的作業員請假交接暫時調整TAP機台控制權限,tony_chang,tcs/tap,帳號與權限
case-20260603-00303,2026/6/3 12:59:35 PM,F12B,[tcs/tap alarm:報表與查詢]f12b_General的工程師申請匯出昨日OHT搬運統計報表,eric_huang,tcs/tap,報表與查詢
case-20260603-00304,2026/6/3 11:15:03 AM,F18,[fdc alarm:感測器異常]f18_General的單一Sensor SVID採樣週期跳動,david_li,fdc,感測器異常
case-20260603-00305,2026/6/3 2:21:45 PM,F12A,[fdc alarm:感測器異常]f12a_Tool-27的單一Sensor SVID採樣週期跳動,tony_chang,fdc,感測器異常
case-20260603-00306,2026/6/3 4:59:10 PM,F18,[fdc alarm:資料採集]f18_Tool-70的短暫網路震盪導致FDC Log採集延遲,chris_chao,fdc,資料採集
case-20260603-00307,2026/6/3 11:48:18 AM,F14A,[others alarm:週邊設備]f14a_Tool-21的標籤列印機無法收到網路列印指令,sam_liu,others,週邊設備
case-20260603-00308,2026/6/3 5:14:34 PM,F12B,[others alarm:帳號與權限]f12b_Tool-32的工程師忘記密碼導致帳號被鎖定,alex_chen,others,帳號與權限
case-20260603-00309,2026/6/3 2:50:31 PM,F18,[others alarm:帳號與權限]f18_Tool-47的工程師忘記密碼導致帳號被鎖定,kevin_wang,others,帳號與權限
case-20260604-00310,2026/6/4 12:36:38 PM,F14A,[ees alarm:帳號與權限]f14a_General的廠端新進作業員申請基礎檢視權限,john_lin,ees,帳號與權限
case-20260604-00311,2026/6/4 4:29:17 PM,F12A,[tcs/tap alarm:報表與查詢]f12a_General的工程師申請匯出昨日OHT搬運統計報表,david_li,tcs/tap,報表與查詢
case-20260604-00312,2026/6/4 6:16:45 PM,F12A,[fdc alarm:腔體警報]f12a_Tool-47的腔體即時壓力短暫碰觸UCL邊界,kevin_wang,fdc,腔體警報
case-20260604-00313,2026/6/4 10:39:54 AM,F14B,[fdc alarm:資料採集]f14b_Tool-21的短暫網路震盪導致FDC Log採集延遲,chris_chao,fdc,資料採集
case-20260604-00314,2026/6/4 9:11:08 AM,F14A,[others alarm:帳號與權限]f14a_Tool-10的廠端新進作業員申請基礎檢視權限,tony_chang,others,帳號與權限
case-20260604-00315,2026/6/4 2:15:28 PM,F14A,[others alarm:週邊設備]f14a_General的標籤列印機無法收到網路列印指令,eric_huang,others,週邊設備
case-20260604-00316,2026/6/4 5:00:16 PM,F18,[others alarm:週邊設備]f18_General的標籤列印機無法收到網路列印指令,sam_liu,others,週邊設備
case-20260605-00317,2026/6/5 3:19:10 PM,F18,[ees alarm:PM保養]f18_Tool-49的年度PM完成後於EES點選完工無法同步更新狀態,chris_chao,ees,PM保養
case-20260605-00318,2026/6/5 12:23:39 PM,F12B,[tcs/tap alarm:派工作業]f12b_Tool-71的機台換批時派工佇列稍有延遲重整後正常,david_li,tcs/tap,派工作業
case-20260605-00319,2026/6/5 3:47:38 PM,F14B,[tcs/tap alarm:帳號與權限]f14b_Tool-70的作業員請假交接暫時調整TAP機台控制權限,sam_liu,tcs/tap,帳號與權限
